#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Thu Mar 14 00:42:36 2024
# Process ID: 41358
# Current directory: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc
# Command line: xsim -mode tcl -source {xsim.dir/tb_fsic_xelab/xsim_script.tcl}
# Log file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.log
# Journal file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.jou
# Running On: roy-VirtualBox, OS: Linux, CPU Frequency: 2999.996 MHz, CPU Physical cores: 2, Host memory: 10425 MB
#-----------------------------------------------------------
source xsim.dir/tb_fsic_xelab/xsim_script.tcl
# xsim {tb_fsic_xelab} -autoloadwcfg -tclbatch {log_wave.tcl}
Time resolution is 1 ps
open_wave_config /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/tb_fsic_xelab.wcfg
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_next_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_widthIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_heightIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_sw_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_rst was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
source log_wave.tcl
## log_wave -quiet -verbose -recursive *
## run all
Test#1: FIR initialization from SOC side
fsci_system_initial: TX/RX test
LENGTH =        600
              683745=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       477,  soc_to_fpga_axis_captured[       477] =xxxXffffef8f, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffef8f
              683745=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       477,  soc_to_fpga_axis_captured[       477] =xxxXffffef8f, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffef8f
              684305=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       478,  soc_to_fpga_axis_captured[       478] =xxxXffffeed8, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffeed8
              684305=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       478,  soc_to_fpga_axis_captured[       478] =xxxXffffeed8, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffeed8
              684865=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       479,  soc_to_fpga_axis_captured[       479] =xxxXffffee21, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffee21
              684865=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       479,  soc_to_fpga_axis_captured[       479] =xxxXffffee21, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffee21
              685425=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       480,  soc_to_fpga_axis_captured[       480] =xxxXffffed6a, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffed6a
              685425=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       480,  soc_to_fpga_axis_captured[       480] =xxxXffffed6a, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffed6a
              685985=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       481,  soc_to_fpga_axis_captured[       481] =xxxXffffecb3, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffecb3
              685985=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       481,  soc_to_fpga_axis_captured[       481] =xxxXffffecb3, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffecb3
              686545=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       482,  soc_to_fpga_axis_captured[       482] =xxxXffffebfc, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffebfc
              686545=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       482,  soc_to_fpga_axis_captured[       482] =xxxXffffebfc, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffebfc
              687105=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       483,  soc_to_fpga_axis_captured[       483] =xxxXffffeb45, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffeb45
              687105=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       483,  soc_to_fpga_axis_captured[       483] =xxxXffffeb45, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffeb45
              687665=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       484,  soc_to_fpga_axis_captured[       484] =xxxXffffea8e, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffea8e
              687665=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       484,  soc_to_fpga_axis_captured[       484] =xxxXffffea8e, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffea8e
              688225=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       485,  soc_to_fpga_axis_captured[       485] =xxxXffffe9d7, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe9d7
              688225=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       485,  soc_to_fpga_axis_captured[       485] =xxxXffffe9d7, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe9d7
              688345=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffd3
              688385=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffd2
              688425=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffd1
              688465=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffd0
              688505=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffcf
              688545=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffce
              688585=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffcd
              688625=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffcc
              688665=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffcb
              688785=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       486,  soc_to_fpga_axis_captured[       486] =xxxXffffe920, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe920
              688785=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       486,  soc_to_fpga_axis_captured[       486] =xxxXffffe920, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe920
              689345=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       487,  soc_to_fpga_axis_captured[       487] =xxxXffffe869, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe869
              689345=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       487,  soc_to_fpga_axis_captured[       487] =xxxXffffe869, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe869
              689905=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       488,  soc_to_fpga_axis_captured[       488] =xxxXffffe7b2, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe7b2
              689905=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       488,  soc_to_fpga_axis_captured[       488] =xxxXffffe7b2, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe7b2
              690465=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       489,  soc_to_fpga_axis_captured[       489] =xxxXffffe6fb, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe6fb
              690465=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       489,  soc_to_fpga_axis_captured[       489] =xxxXffffe6fb, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe6fb
              691025=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       490,  soc_to_fpga_axis_captured[       490] =xxxXffffe644, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe644
              691025=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       490,  soc_to_fpga_axis_captured[       490] =xxxXffffe644, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe644
              691585=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       491,  soc_to_fpga_axis_captured[       491] =xxxXffffe58d, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe58d
              691585=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       491,  soc_to_fpga_axis_captured[       491] =xxxXffffe58d, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe58d
              692145=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       492,  soc_to_fpga_axis_captured[       492] =xxxXffffe4d6, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe4d6
              692145=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       492,  soc_to_fpga_axis_captured[       492] =xxxXffffe4d6, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe4d6
              692705=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       493,  soc_to_fpga_axis_captured[       493] =xxxXffffe41f, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe41f
              692705=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       493,  soc_to_fpga_axis_captured[       493] =xxxXffffe41f, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe41f
              693265=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       494,  soc_to_fpga_axis_captured[       494] =xxxXffffe368, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe368
              693265=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       494,  soc_to_fpga_axis_captured[       494] =xxxXffffe368, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe368
              693385=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffca
              693425=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc9
              693465=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc8
              693505=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc7
              693545=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc6
              693585=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc5
              693625=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc4
              693665=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc3
              693705=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc2
              693825=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       495,  soc_to_fpga_axis_captured[       495] =xxxXffffe2b1, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe2b1
              693825=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       495,  soc_to_fpga_axis_captured[       495] =xxxXffffe2b1, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe2b1
              694385=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       496,  soc_to_fpga_axis_captured[       496] =xxxXffffe1fa, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe1fa
              694385=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       496,  soc_to_fpga_axis_captured[       496] =xxxXffffe1fa, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe1fa
              694945=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       497,  soc_to_fpga_axis_captured[       497] =xxxXffffe143, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe143
              694945=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       497,  soc_to_fpga_axis_captured[       497] =xxxXffffe143, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe143
              695505=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       498,  soc_to_fpga_axis_captured[       498] =xxxXffffe08c, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe08c
              695505=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       498,  soc_to_fpga_axis_captured[       498] =xxxXffffe08c, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffe08c
              696065=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       499,  soc_to_fpga_axis_captured[       499] =xxxXffffdfd5, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdfd5
              696065=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       499,  soc_to_fpga_axis_captured[       499] =xxxXffffdfd5, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdfd5
              696625=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       500,  soc_to_fpga_axis_captured[       500] =xxxXffffdf1e, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdf1e
              696625=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       500,  soc_to_fpga_axis_captured[       500] =xxxXffffdf1e, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdf1e
              697185=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       501,  soc_to_fpga_axis_captured[       501] =xxxXffffde67, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffde67
              697185=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       501,  soc_to_fpga_axis_captured[       501] =xxxXffffde67, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffde67
              697745=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       502,  soc_to_fpga_axis_captured[       502] =xxxXffffddb0, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffddb0
              697745=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       502,  soc_to_fpga_axis_captured[       502] =xxxXffffddb0, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffddb0
              698305=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       503,  soc_to_fpga_axis_captured[       503] =xxxXffffdcf9, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdcf9
              698305=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       503,  soc_to_fpga_axis_captured[       503] =xxxXffffdcf9, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdcf9
              698425=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc1
              698465=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffc0
              698505=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffbf
              698545=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffbe
              698585=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffbd
              698625=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffbc
              698665=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffbb
              698705=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffba
              698745=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = ffffffb9
              698865=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       504,  soc_to_fpga_axis_captured[       504] =xxxXffffdc42, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdc42
              698865=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       504,  soc_to_fpga_axis_captured[       504] =xxxXffffdc42, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdc42
              699425=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       505,  soc_to_fpga_axis_captured[       505] =xxxXffffdb8b, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdb8b
              699425=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       505,  soc_to_fpga_axis_captured[       505] =xxxXffffdb8b, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdb8b
              699985=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       506,  soc_to_fpga_axis_captured[       506] =xxxXffffdad4, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdad4
              699985=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       506,  soc_to_fpga_axis_captured[       506] =xxxXffffdad4, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffdad4
